iter	Passed	Remaining
604	3310	2161
605	3316	2156
606	3321	2150
607	3326	2144
608	3330	2138
609	3336	2133
610	3341	2127
611	3346	2121
612	3352	2116
613	3360	2112
614	3366	2107
615	3371	2101
616	3376	2095
617	3382	2090
618	3386	2084
619	3391	2078
620	3396	2072
621	3402	2067
622	3407	2061
623	3412	2055
624	3418	2050
625	3423	2045
626	3427	2039
627	3434	2034
628	3438	2028
629	3443	2022
630	3449	2017
631	3455	2012
632	3461	2006
633	3467	2001
634	3472	1995
635	3476	1989
636	3482	1984
637	3487	1978
638	3492	1972
639	3498	1967
640	3503	1962
641	3510	1957
642	3516	1952
643	3520	1946
644	3525	1940
645	3531	1935
646	3536	1929
647	3541	1923
648	3547	1918
649	3553	1913
650	3562	1910
651	3567	1904
652	3573	1899
653	3579	1893
654	3584	1888
655	3589	1882
656	3594	1876
657	3599	1870
658	3604	1865
659	3609	1859
660	3615	1854
661	3620	1848
662	3624	1842
663	3630	1837
664	3635	1831
665	3640	1825
666	3646	1820
667	3651	1814
668	3656	1808
669	3662	1803
670	3669	1798
671	3674	1793
672	3680	1788
673	3684	1782
674	3689	1776
675	3695	1771
676	3700	1765
677	3705	1759
678	3712	1754
679	3717	1749
680	3721	1743
681	3727	1738
682	3732	1732
683	3737	1726
684	3742	1721
685	3748	1715
686	3753	1709
687	3759	1704
688	3765	1699
689	3772	1694
690	3778	1689
691	3783	1683
692	3788	1678
693	3793	1672
694	3798	1667
695	3803	1661
696	3811	1656
697	3816	1651
698	3822	1646
699	3828	1640
700	3834	1635
701	3841	1630
702	3846	1624
703	3851	1619
704	3857	1614
705	3862	1608
706	3867	1602
707	3873	1597
708	3879	1592
709	3886	1587
710	3891	1581
711	3896	1576
712	3901	1570
713	3907	1565
714	3911	1559
715	3917	1553
716	3923	1548
717	3928	1542
718	3932	1537
719	3939	1532
720	3944	1526
721	3948	1520
722	3955	1515
723	3959	1509
724	3964	1503
725	3970	1498
726	3975	1492
727	3980	1487
728	3985	1481
729	3991	1476
730	3997	1471
731	4007	1467
732	4012	1461
733	4017	1455
734	4023	1450
735	4027	1444
736	4032	1439
737	4040	1434
738	4045	1428
739	4050	1423
740	4056	1417
741	4061	1412
742	4065	1406
743	4071	1401
744	4076	1395
745	4081	1389
746	4086	1384
747	4093	1378
748	4099	1373
749	4105	1368
750	4110	1362
751	4115	1357
752	4121	1351
753	4126	1346
754	4131	1340
755	4137	1335
756	4142	1329
757	4147	1324
758	4153	1318
759	4158	1313
760	4163	1307
761	4168	1302
762	4173	1296
763	4178	1290
764	4184	1285
765	4189	1279
766	4193	1274
767	4199	1268
768	4205	1263
769	4210	1257
770	4218	1252
771	4222	1247
772	4227	1241
773	4234	1236
774	4239	1230
775	4244	1225
776	4251	1220
777	4256	1214
778	4261	1208
779	4266	1203
780	4271	1197
781	4276	1192
782	4282	1186
783	4287	1181
784	4292	1175
785	4302	1171
786	4312	1167
787	4317	1161
788	4322	1155
789	4326	1150
790	4333	1145
791	4338	1139
792	4343	1133
793	4349	1128
794	4354	1122
795	4358	1117
796	4364	1111
797	4369	1105
798	4373	1100
799	4379	1094
800	4384	1089
801	4390	1083
802	4395	1078
803	4400	1072
804	4405	1067
805	4410	1061
806	4417	1056
807	4423	1051
808	4430	1045
809	4434	1040
810	4439	1034
811	4446	1029
812	4450	1023
813	4455	1018
814	4461	1012
815	4466	1007
816	4470	1001
817	4476	996
818	4481	990
819	4486	984
820	4491	979
821	4499	974
822	4504	968
823	4510	963
824	4516	958
825	4522	952
826	4529	947
827	4533	941
828	4538	936
829	4544	930
830	4549	925
831	4554	919
832	4560	914
833	4564	908
834	4569	902
835	4574	897
836	4580	891
837	4584	886
838	4589	880
839	4595	875
840	4600	869
841	4605	864
842	4611	858
843	4616	853
844	4620	847
845	4626	842
846	4637	837
847	4644	832
848	4648	826
849	4653	821
850	4659	815
851	4664	810
852	4669	804
853	4675	799
854	4679	793
855	4684	788
856	4690	782
857	4695	777
858	4699	771
859	4704	765
860	4711	760
861	4715	754
862	4720	749
863	4726	744
864	4733	738
865	4740	733
866	4745	727
867	4750	722
868	4756	717
869	4761	711
870	4766	705
871	4772	700
872	4776	694
873	4781	689
874	4786	683
875	4792	678
876	4797	672
877	4802	667
878	4808	661
879	4813	656
880	4818	650
881	4824	645
882	4828	639
883	4834	634
884	4841	629
885	4847	623
886	4853	618
887	4859	612
888	4864	607
889	4869	601
890	4874	596
891	4879	590
892	4885	585
893	4890	579
894	4895	574
895	4899	568
896	4903	563
897	4910	557
898	4914	552
899	4918	546
900	4924	541
901	4930	535
902	4935	530
903	4942	524
904	4947	519
905	4952	513
906	4958	508
907	4963	502
908	4968	497
909	4976	492
910	4983	486
911	4988	481
912	4994	475
913	4998	470
914	5003	464
915	5009	459
916	5014	453
917	5018	448
918	5024	442
919	5029	437
920	5033	431
921	5039	426
922	5045	420
923	5052	415
924	5058	410
925	5063	404
926	5068	399
927	5074	393
928	5078	388
929	5083	382
930	5090	377
931	5095	371
932	5100	366
933	5106	360
934	5111	355
935	5116	349
936	5121	344
937	5126	338
938	5131	333
939	5141	328
940	5148	322
941	5155	317
942	5160	311
943	5165	306
944	5171	300
945	5176	295
946	5180	289
947	5187	284
948	5191	279
949	5196	273
950	5201	268
951	5206	262
952	5211	257
953	5215	251
954	5222	246
955	5226	240
956	5233	235
957	5239	229
958	5244	224
959	5250	218
960	5256	213
961	5264	207
962	5271	202
963	5276	197
964	5280	191
965	5286	186
966	5291	180
967	5296	175
968	5302	169
969	5307	164
970	5312	158
971	5319	153
972	5323	147
973	5328	142
974	5334	136
975	5339	131
976	5344	125
977	5350	120
978	5357	114
979	5363	109
980	5369	103
981	5374	98
982	5378	93
983	5385	87
984	5390	82
985	5395	76
986	5401	71
987	5405	65
988	5410	60
989	5417	54
990	5421	49
991	5426	43
992	5432	38
993	5437	32
994	5442	27
995	5448	21
996	5453	16
997	5458	10
998	5464	5
999	5470	0
